Total;48;;;;;
Type;Course Code;Course Name;Credit;ECTS
Mandatory;CENG111;BILGISAYAR MUHENDISLIGI KAVRAMLARI;3;5
Mandatory;CENG113;PROGRAMLAMAYA GIRIS;4;6
Mandatory;CENG115;AYRIK YAPILAR;3;5
Mandatory;ENG101;INGILIZCE OKUMA VE YAZMA BECERILERI I;3;3
Mandatory;MATH141;TEMEL ANALİZ I;4;5
Mandatory;PHYS121;GENEL FIZIK I;4;7
Mandatory;CENG112;VERI YAPILARI;3;5
Mandatory;ECON106;EKONOMININ PRENSIPLERI;3;3
Mandatory;ENG102;INGILIZCE OKUMA VE YAZMA BECERILERI II;3;3
Mandatory;GCC101;KARİYER PLANLAMA VE GELİŞTİRME;0;2
Mandatory;MATH142;TEMEL ANALİZ II;4;6
Mandatory;MATH144;SONLU MATEMATIK;3;5
Mandatory;PHYS122;GENEL FIZIK II;4;8
Mandatory;CENG211;PROGRAMLAMANIN TEMELLERI;3;5
Mandatory;CENG213;ISLEM TEORISI;3;5
Mandatory;CENG215;DEVRELER VE ELEKTRONİK;4;6
Mandatory;MATH255;DIFERANSIYEL DENKLEMLER;4;6
Mandatory;CENG212;PROGRAMLAMA DILLERI KAVRAMI;3;5
Mandatory;CENG214;MANTIK TASARIMI;4;6
Mandatory;CENG216;SAYISAL HESAPLAMA;3;5
Mandatory;CENG218;ALGORİTMALARIN ANALİZ VE TASARIMI;3;5
Mandatory;CENG222;OLASILIK VE İSTATİSTİK;3;5
Mandatory;CENG311;BILGISAYAR MIMARISI;4;8
Mandatory;CENG315;BİLGİ YÖNETİMİ;3;6
Mandatory;CENG323;PROJE YÖNETİMİ;3;6
Mandatory;CENG312;BİLGİSAYAR AĞLARI;3;6
Mandatory;CENG316;YAZILIM MUHENDISLIGI;3;6
Mandatory;CENG318;İNSAN BİLGİSAYAR ETKİLEŞİMİ;3;5
Mandatory;CENG322;İŞLETİM SİSTEMLERİ;4;8
Mandatory;CENG400;YAZ STAJI;0;4
Mandatory;CENG411;BİLGİSAYAR MÜHENDİSLİĞİNDE PROFESYONELLİK;3;6
Mandatory;CENG415;LİSANS TEZİ VE SEMİNER I;3;8
Mandatory;CENG416;LİSANS TEZİ VE SEMİNER II;3;8
Mandatory;CENG418;BİLGİ GÜVENLİĞİ;3;6
Mandatory;CENG424;GÖMÜLÜ BİLGİSAYAR SİSTEMLERİ;3;6
Elective;HIST201;ATATÜRK İLKELERİ VE İNKILAP TARİHİ I;0;2
Elective;HIST203;ULUSLARARASI ÖĞRENCİLER İÇİN TÜRK DEVRİM TARİHİ I;0;2
Elective;ART206;SES PRODÜKSİYON VE TASARIMINA GİRİŞ;3;3
Elective;ART212;ARMONİYE GİRİŞ;3;5
Elective;ART231;TÜRK HALK DANSLARINA GİRİŞ;3;5
Elective;ART240;RESİM SANATI KAVRAMLAR VE KURAMLAR;3;5
Elective;CHN201;TEMEL ÇİNCE I;3;3
Elective;CHN202;TEMEL ÇİNCE II;3;3
Elective;ECON201;YENİLİK EKONOMİSİ;3;5
Elective;EDU601;GELİŞİM VE ÖĞRENME;3;3
Elective;FREN201;TEMEL FRANSIZCA I;3;3
Elective;FREN202;TEMEL FRANSIZCA II;3;3
Elective;FREN203;ORTA DUZEY FRANSIZCA I;3;3
Elective;FREN204;ORTA DUZEY FRANSIZCA II;3;3
Elective;FREN205;İLERİ DÜZEY FRANSIZCA I;3;3
Elective;GER201;TEMEL ALMANCA I;3;3
Elective;GER202;TEMEL ALMANCA II;3;3
Elective;GER203;ORTA DUZEY ALMANCA I;3;3
Elective;GER204;ORTA DUZEY ALMANCA II;3;3
Elective;HUM201;FELSEFEYE GİRİŞ;3;5
Elective;HUM203;SOSYAL ANTROPOLOJİYE GİRİŞ;3;5
Elective;HUM204;TÜRKÇENİN ETKİLİ VE DOĞRU KULLANIMI;3;5
Elective;HUM207;OSMANLI TARİHİ I;3;3
Elective;HUM208;OSMANLI TARİHİ II;3;3
Elective;HUM209;KÜLTÜRLERARASI İLETİŞİM;3;5
Elective;HUM210;TÜRKÇE YAZILI ANLATIMIN GELİŞTİRİLMESİ;3;5
Elective;HUM213;MODERN DÜNYA TARİHİ;3;5
Elective;HUM215;MİTOLOJİ;3;5
Elective;HUM216;FOLKLOR METİNLERİNİN ANALİZİ;3;3
Elective;HUM217;SANAT TARİHİ I;3;5
Elective;HUM218;SANAT TARİHİ II;3;3
Elective;HUM219;SANAT TARİHİ III;3;3
Elective;HUM226;ÇAĞDAŞ TÜRK EDEBİYATINDAN METİN İNCELEMELERİ;3;3
Elective;HUM227;TÜRK DİL REFORMU;3;5
Elective;HUM228;MEDYA VE EDEBİYATTA ELEŞTİREL OKUMA;3;5
Elective;HUM230;GRUP DİNAMİKLERİ;3;5
Elective;HUM231;ÇALIŞMA SOSYOLOJİSİ;3;5
Elective;HUM232;GÖRSEL İLETİŞİM;3;5
Elective;HUM233;SANATTA GÖRSEL ALGI;3;5
Elective;HUM250;TOPLUMSAL SORUMLULUK PROJELERİ;3;5
Elective;HUM251;OSMANLI TÜRKÇESİ I;3;5
Elective;HUM252;OSMANLI TÜRKÇESİ II;3;5
Elective;HUM253;TÜRK İŞARET DİLİ;3;5
Elective;HUM255;LATİNCE I;3;3
Elective;HUM256;LATİNCE II;3;3
Elective;HUM260;AFET YÖNETİMİNE GİRİŞ;3;5
Elective;HUM261;KÜRESEL SÜRDÜRÜLEBİLİRLİK;3;5
Elective;HUM501;ARAŞTIRMA İÇİN LATİNCE I;4;3
Elective;HUM502;ARAŞTIRMA İÇİN LATİNCE II;4;3
Elective;ITAL201;TEMEL ITALYANCA I;3;3
Elective;ITAL202;TEMEL ITALYANCA II;3;3
Elective;MAN203;PROJE YÖNETİMİ;3;5
Elective;MAN205;YENİLİK YÖNETİMİ;3;5
Elective;MAN206;İŞLETMELER VE İŞ YAŞAMI;3;5
Elective;MAN210;KURUMSAL İLETİŞİM VE YÖNETİM BECERİLERİ;3;5
Elective;MAN215;MÜHENDİSLİK EKONOMİSİ;3;5
Elective;MAN216;PAZARLAMAYA GİRİŞ;3;5
Elective;MAN217;YÖNETİMİN TEMELLERİ VE LİDERLİK;3;5
Elective;MAN218;GİRİŞİMCİLİK;3;5
Elective;MAN223;YARATICI PROJE YAZIMI VE SUNUMU;3;5
Elective;MAN230;İŞ HAYATINDA HUKUK;3;3
Elective;MAN231;MARKA, PATENT ve FİKRİ HAKLAR;3;5
Elective;MAN232;KALİTE YÖNETİM SİSTEMLERİ;3;5
Elective;MAN235;YARATICILIĞIN ESASLARI;3;5
Elective;MAN236;REKLAMCILIĞA GİRİŞ;3;3
Elective;RUS201;TEMEL RUSÇA I;3;3
Elective;RUS202;TEMEL RUSÇA II;3;3
Elective;RUS203;ORTA DÜZEY RUSÇA I;3;3
Elective;RUS204;ORTA DÜZEY RUSÇA II;3;3
Elective;RUS205;İLERİ DÜZEY RUSÇA I;3;3
Elective;RUS206;İLERİ DÜZEY RUSÇA II;3;3
Elective;SPAN201;TEMEL İSPANYOLCA I;3;3
Elective;SPAN202;TEMEL ISPANYOLCA II;3;3
Elective;SPAN203;ORTA DÜZEY İSPANYOLCA I;3;3
Elective;SPAN204;ORTA DÜZEY İSPANYOLCA II;3;3
Elective;SPRT208;TEMEL FİTNESS TEKNİKLERİ;3;5
Elective;SPRT211;SU ÜSTÜ SÖRF SPORLARI;3;5
Elective;TURK207;ULUSLARARASI ÖĞRENCİLER İÇİN AKADEMİK;3;3
Elective;ART210;BATI MÜZİĞİ VE ESTETİK;3;3
Elective;JAP201;TEMEL JAPONCA I;3;3
Elective;JAP202;TEMEL JAPONCA II;3;3
Elective;JAP203;ORTA DÜZEY JAPONCA I;3;3
Elective;ART201;DESEN-SKEÇ;3;3
Elective;ART202;RESİM SANATI;3;3
Elective;ART203;HEYKEL SANATI;3;3
Elective;ART204;ARTİSTİK SERAMİK SANATI;3;3
Elective;ART205;MOBİL FOTOĞRAFÇILIK;3;3
Elective;ART211;MÜZİK ATÖLYESİ;3;3
Elective;ART213;PİYANOYA GİRİŞ;3;3
Elective;ART230;DANS EĞİTİMİ;3;3
Elective;ART232;UYGULAMALI TÜRK HALK DANSLARI;3;3
Elective;ART233;KARŞILAŞTIRMALI FOLKLORİK DANSLAR;3;3
Elective;SPRT201;TENİS I;3;3
Elective;SPRT202;TENİS II;3;3
Elective;SPRT203;BADMİNTON;3;3
Elective;SPRT204;BASKETBOL;3;3
Elective;SPRT206;MASA TENİSİ;3;3
Elective;SPRT209;YÜZME I;3;3
Elective;SPRT210;YÜZME TEMEL EĞİTİMİ;3;3
Elective;HUM262;TARİH, TEKNOLOJİ VE TOPLUM;3;5
Elective;HUM263;KENT KÜLTÜRÜ VE İLETİŞİM;3;5
Elective;HUM206;KÜLTÜREL ÇALIŞMALAR;3;5
Elective;ENV106;ÇEVRE ETİĞİ;2;3
Elective;TURK201;TÜRK DİLİ DERSLERİ I;0;2
Elective;TURK203;ULUSLARARASI ÖĞRENCİLER İÇİN TÜRKÇE I;0;2
Elective;CENG384;MİKROİŞLEMCİLER;3;6
Elective;CENG461;YAPAY US;3;6
Elective;CENG472;BİLGİSAYAR AĞI GÜVENLİĞİ;3;6
Elective;CENG463;YAPAY ÖĞRENMEYE GİRİŞ;3;6
Elective;CENG390;BULUT BİLİŞİM;3;6
Elective;CENG471;KRIPTOGRAFI;3;6
Elective;CENG462;ESNEK HESAPLAMA;3;6
Elective;CENG381;STOKASTİK SÜREÇLER;3;6
Elective;CENG391;İMGE ANLAMAYA GİRİŞ;3;6
Elective;CENG388;WEB PROGRAMLAMA;3;6
Elective;CENG370;ANA BİLGİSAYARLAR;3;6
Elective;CENG382;BİLGİ TEORİSİ;3;6
Elective;CENG383;GERÇEK-ZAMANLI SİSTEMLER;3;6
Elective;CENG385;MATEMATİKSEL MANTIK;3;6
Elective;CENG386;BULANIK MANTIK SİSTEMLERİ;3;6
Elective;CENG389;MOBİL UYGULAMA GELİŞTİRME;3;6
Elective;CENG421;BİLGİSAYAR AĞI PROGRAMLAMA;3;6
Elective;CENG422;BİLGİSAYAR AĞI TASARIMI VE YONETIMI;3;6
Elective;CENG431;YAZILIM SİSTEMLERİ GELİŞTİRİLMESİ;3;6
Elective;CENG432;KURUMSAL UYGULAMA GELİŞTİRMENİN TEMELLERİ;3;6
Elective;CENG433;İNTERNET İÇİN ÖLÇEKLENEBİLİR YAZILIM GELİŞTİRME;3;6
Elective;CENG434;KURUMSAL UYGULAMA ENTEGRASYONLARI;3;6
Elective;CENG435;VERİ TABANI SİSTEMİ TASARIMI VE GERÇEKLEŞTİRİLMESİ;3;6
Elective;CENG436;DAĞITIK BİLGİ YÖNETİMİ;3;6
Elective;CENG437;YAZILIM KALİTE YÖNETİMİ;3;6
Elective;CENG441;PARALEL PROGRAMLAMAYA GİRİŞ;3;6
Elective;CENG442;ÇOK ÇEKİRDEKLİ MİMARİLER VE İŞLETİM SİSTEMLERİ;3;6
Elective;CENG443;HETEROJEN PARALEL PROGRAMLAMA;3;6
Elective;CENG444;PARALEL PROGRAMLAMA ÖRÜNTÜLERİ;3;6
Elective;CENG451;İLERİ SAYISAL SİSTEM TASARIMI_Kopya1;3;6
Elective;CENG452;GÖMÜLÜ SİSTEMLER İÇİN YAZILIM GELİŞTİRİLMESİ;3;6
Elective;CENG464;METİN MADENCİLİĞİNE GİRİŞ;3;6
Elective;CENG465;VERİ YOĞUN SİSTEMLERİN İLKELERİ;3;6
Elective;CENG473;BİLGİ VE İLETİŞİM TEKNOLOJİLERİ GÜVENLİĞİ;3;6
Elective;CENG481;BİLGİSAYAR BİLİMLERİNDE KURAMSAL YAKLAŞIMLAR;3;6
Elective;CENG482;EVRİMSEL HESAPLAMA;3;6
Elective;CENG483;DAVRANIŞSAL ROBOT BİLİMİ;3;6
Elective;CENG484;VERİ MADENCİLİĞİ;3;6
Elective;CENG485;BİLGİ TEKNOLOJİLERİNDE GİRİŞİMCİLİK;3;6
Elective;CENG486;AKILLI İŞLETMELER İÇİN GİRİŞİMCİLİK;3;6
Elective;CENG487;BİLGİSAYAR GRAFİĞİNE GİRİŞ;3;6
Elective;CENG488;BİLGİSAYAR GRAFİĞİ;3;6
Elective;CENG490;BLOKZİNCİR TEKNOLOJİLERİ;3;6
Elective;CENG491;EĞİTİM PLANI DESTEKLEYİCİ ALAN DERSİ;3;6
